[Gloo] Rank [Gloo] Rank 4 is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/600b88b4-a87b-4201-a8ab-f7bc7b5c0fcf.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:106/1480 train_time:3117ms step_avg:29.40ms
step:107/1480 train_time:3143ms step_avg:29.38ms
step:108/1480 train_time:3176ms step_avg:29.41ms
step:109/1480 train_time:3202ms step_avg:29.38ms
step:110/1480 train_time:3236ms step_avg:29.41ms
step:111/1480 train_time:3261ms step_avg:29.38ms
step:112/1480 train_time:3295ms step_avg:29.42ms
step:113/1480 train_time:3320ms step_avg:29.38ms
step:114/1480 train_time:3354ms step_avg:29.42ms
step:115/1480 train_time:3380ms step_avg:29.39ms
step:116/1480 train_time:3413ms step_avg:29.42ms
step:117/1480 train_time:3439ms step_avg:29.39ms
step:118/1480 train_time:3472ms step_avg:29.43ms
step:119/1480 train_time:3497ms step_avg:29.39ms
step:120/1480 train_time:3531ms step_avg:29.43ms
step:121/1480 train_time:3557ms step_avg:29.39ms
step:122/1480 train_time:3590ms step_avg:29.43ms
step:123/1480 train_time:3616ms step_avg:29.40ms
step:124/1480 train_time:3650ms step_avg:29.43ms
step:125/1480 train_time:3675ms step_avg:29.40ms
step:126/1480 train_time:3708ms step_avg:29.43ms
step:127/1480 train_time:3734ms step_avg:29.40ms
