data_download_start_utc=2026-05-14T10:47:56Z
data_download_done_utc=2026-05-14T10:47:56Z
train_start_utc=2026-05-14T10:47:56Z
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 76
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/c6c83289-9b8c-4dd9-94c7-03be648f90b7.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:103/1480 train_time:3027ms step_avg:29.39ms
step:104/1480 train_time:3061ms step_avg:29.43ms
step:105/1480 train_time:3087ms step_avg:29.40ms
step:106/1480 train_time:3120ms step_avg:29.44ms
step:107/1480 train_time:3146ms step_avg:29.41ms
step:108/1480 train_time:3180ms step_avg:29.44ms
step:109/1480 train_time:3206ms step_avg:29.41ms
step:110/1480 train_time:3239ms step_avg:29.45ms
step:111/1480 train_time:3265ms step_avg:29.41ms
step:112/1480 train_time:3299ms step_avg:29.45ms
step:113/1480 train_time:3325ms step_avg:29.42ms
step:114/1480 train_time:3358ms step_avg:29.45ms
step:115/1480 train_time:3384ms step_avg:29.42ms
step:116/1480 train_time:3416ms step_avg:29.45ms
step:117/1480 train_time:3442ms step_avg:29.42ms
step:118/1480 train_time:3475ms step_avg:29.45ms
step:119/1480 train_time:3501ms step_avg:29.42ms
step:120/1480 train_time:3533ms step_avg:29.44ms
step:121/1480 train_time:3559ms step_avg:29.41ms
step:122/1480 train_time:3591ms step_avg:29.43ms
step:123/1480 train_time:3617ms step_avg:29.41ms
step:124/1480 train_time:3649ms step_avg:29.43ms
step:125/1480 train_time:3675ms step_avg:29.40ms
step:126/1480 train_time:3708ms step_avg:29.43ms
step:127/1480 train_time:3735ms step_avg:29.41ms
step:128/1480 train_time:3767ms step_avg:29.43ms
step:129/1480 train_time:3793ms step_avg:29.40ms
step:130/1480 train_time:3826ms step_avg:29.43ms
step:131/1480 train_time:3852ms step_avg:29.41ms
step:132/1480 train_time:3885ms step_avg:29.43ms
step:133/1480 train_time:3911ms step_avg:29.40ms
step:134/1480 train_time:3944ms step_avg:29.43ms
step:135/1480 train_time:3970ms step_avg:29.41ms
step:136/1480 train_time:4004ms step_avg:29.44ms
step:137/1480 train_time:4030ms step_avg:29.42ms
step:138/1480 train_time:4063ms step_avg:29.44ms
step:139/1480 train_time:4090ms step_avg:29.42ms
step:140/1480 train_time:4123ms step_avg:29.45ms
step:141/1480 train_time:4149ms step_avg:29.43ms
step:142/1480 train_time:4182ms step_avg:29.45ms
step:143/1480 train_time:4208ms step_avg:29.43ms
step:144/1480 train_time:4242ms step_avg:29.46ms
step:145/1480 train_time:4268ms step_avg:29.43ms
step:146/1480 train_time:4301ms step_avg:29.46ms
step:147/1480 train_time:4327ms step_avg:29.43ms
step:148/1480 train_time:4360ms step_avg:29.46ms
step:149/1480 train_time:4386ms step_avg:29.43ms
step:150/1480 train_time:4418ms step_avg:29.45ms
step:151/1480 train_time:4444ms step_avg:29.43ms
step:152/1480 train_time:4477ms step_avg:29.46ms
step:153/1480 train_time:4504ms step_avg:29.44ms
step:154/1480 train_time:4536ms step_avg:29.45ms
step:155/1480 train_time:4562ms step_avg:29.43ms
step:156/1480 train_time:4594ms step_avg:29.45ms
step:157/1480 train_time:4620ms step_avg:29.43ms
step:158/1480 train_time:4652ms step_avg:29.45ms
step:159/1480 train_time:4679ms step_avg:29.43ms
step:160/1480 train_time:4712ms step_avg:29.45ms
step:161/1480 train_time:4738ms step_avg:29.43ms
step:162/1480 train_time:4770ms step_avg:29.44ms
step:163/1480 train_time:4796ms step_avg:29.42ms
step:164/1480 train_time:4829ms step_avg:29.44ms
step:165/1480 train_time:4856ms step_avg:29.43ms
step:166/1480 train_time:4888ms step_avg:29.45ms
step:167/1480 train_time:4914ms step_avg:29.43ms
step:168/1480 train_time:4947ms step_avg:29.45ms
step:169/1480 train_time:4974ms step_avg:29.43ms
step:170/1480 train_time:5007ms step_avg:29.45ms
step:171/1480 train_time:5033ms step_avg:29.43ms
step:172/1480 train_time:5066ms step_avg:29.45ms
step:173/1480 train_time:5092ms step_avg:29.43ms
step:174/1480 train_time:5125ms step_avg:29.45ms
step:175/1480 train_time:5151ms step_avg:29.44ms
step:176/1480 train_time:5184ms step_avg:29.46ms
step:177/1480 train_time:5211ms step_avg:29.44ms
step:178/1480 train_time:5243ms step_avg:29.46ms
step:179/1480 train_time:5269ms step_avg:29.44ms
step:180/1480 train_time:5303ms step_avg:29.46ms
step:181/1480 train_time:5328ms step_avg:29.44ms
step:182/1480 train_time:5361ms step_avg:29.46ms
step:183/1480 train_time:5387ms step_avg:29.44ms
step:184/1480 train_time:5420ms step_avg:29.45ms
step:185/1480 train_time:5446ms step_avg:29.44ms
step:186/1480 train_time:5479ms step_avg:29.46ms
step:187/1480 train_time:5504ms step_avg:29.44ms
step:188/1480 train_time:5537ms step_avg:29.45ms
step:189/1480 train_time:5563ms step_avg:29.43ms
step:190/1480 train_time:5595ms step_avg:29.45ms
step:191/1480 train_time:5621ms step_avg:29.43ms
step:192/1480 train_time:5654ms step_avg:29.45ms
step:193/1480 train_time:5680ms step_avg:29.43ms
step:194/1480 train_time:5713ms step_avg:29.45ms
step:195/1480 train_time:5738ms step_avg:29.43ms
step:196/1480 train_time:5770ms step_avg:29.44ms
step:197/1480 train_time:5797ms step_avg:29.43ms
step:198/1480 train_time:5830ms step_avg:29.44ms
step:199/1480 train_time:5856ms step_avg:29.43ms
step:200/1480 train_time:5889ms step_avg:29.44ms
step:201/1480 train_time:5915ms step_avg:29.43ms
step:202/1480 train_time:5948ms step_avg:29.45ms
step:203/1480 train_time:5975ms step_avg:29.43ms
step:204/1480 train_time:6008ms step_avg:29.45ms
step:205/1480 train_time:6034ms step_avg:29.43ms
step:206/1480 train_time:6066ms step_avg:29.45ms
step:207/1480 train_time:6092ms step_avg:29.43ms
step:208/1480 train_time:6125ms step_avg:29.45ms
step:209/1480 train_time:6152ms step_avg:29.43ms
step:210/1480 train_time:6184ms step_avg:29.45ms
step:211/1480 train_time:6210ms step_avg:29.43ms
step:212/1480 train_time:6244ms step_avg:29.45ms
step:213/1480 train_time:6270ms step_avg:29.44ms
step:214/1480 train_time:6303ms step_avg:29.45ms
step:215/1480 train_time:6329ms step_avg:29.44ms
step:216/1480 train_time:6362ms step_avg:29.45ms
step:217/1480 train_time:6387ms step_avg:29.43ms
step:218/1480 train_time:6421ms step_avg:29.45ms
step:219/1480 train_time:6447ms step_avg:29.44ms
step:220/1480 train_time:6480ms step_avg:29.45ms
step:221/1480 train_time:6505ms step_avg:29.44ms
step:222/1480 train_time:6538ms step_avg:29.45ms
step:223/1480 train_time:6564ms step_avg:29.43ms
step:224/1480 train_time:6596ms step_avg:29.45ms
step:225/1480 train_time:6623ms step_avg:29.43ms
step:226/1480 train_time:6655ms step_avg:29.45ms
step:227/1480 train_time:6681ms step_avg:29.43ms
step:228/1480 train_time:6714ms step_avg:29.45ms
step:229/1480 train_time:6740ms step_avg:29.43ms
step:230/1480 train_time:6773ms step_avg:29.45ms
step:231/1480 train_time:6799ms step_avg:29.43ms
step:232/1480 train_time:6831ms step_avg:29.44ms
step:233/1480 train_time:6857ms step_avg:29.43ms
step:234/1480 train_time:6890ms step_avg:29.44ms
step:235/1480 train_time:6916ms step_avg:29.43ms
step:236/1480 train_time:6949ms step_avg:29.44ms
step:237/1480 train_time:6975ms step_avg:29.43ms
step:238/1480 train_time:7008ms step_avg:29.45ms
step:239/1480 train_time:7035ms step_avg:29.43ms
step:240/1480 train_time:7067ms step_avg:29.45ms
step:241/1480 train_time:7093ms step_avg:29.43ms
step:242/1480 train_time:7126ms step_avg:29.45ms
step:243/1480 train_time:7153ms step_avg:29.44ms
step:244/1480 train_time:7185ms step_avg:29.45ms
step:245/1480 train_time:7211ms step_avg:29.43ms
step:246/1480 train_time:7245ms step_avg:29.45ms
step:247/1480 train_time:7271ms step_avg:29.44ms
step:248/1480 train_time:7304ms step_avg:29.45ms
step:249/1480 train_time:7330ms step_avg:29.44ms
step:250/1480 train_time:7363ms step_avg:29.45ms
step:250/1480 val_loss:4.5212 train_time:7396ms step_avg:29.58ms
step:251/1480 train_time:7414ms step_avg:29.54ms
step:252/1480 train_time:7433ms step_avg:29.49ms
step:253/1480 train_time:7449ms step_avg:29.44ms
step:254/1480 train_time:7481ms step_avg:29.45ms
step:255/1480 train_time:7507ms step_avg:29.44ms
step:256/1480 train_time:7540ms step_avg:29.45ms
step:257/1480 train_time:7566ms step_avg:29.44ms
step:258/1480 train_time:7598ms step_avg:29.45ms
step:259/1480 train_time:7624ms step_avg:29.44ms
step:260/1480 train_time:7657ms step_avg:29.45ms
step:261/1480 train_time:7684ms step_avg:29.44ms
step:262/1480 train_time:7717ms step_avg:29.45ms
step:263/1480 train_time:7742ms step_avg:29.44ms
step:264/1480 train_time:7774ms step_avg:29.45ms
